Artist,Song,Lyrics,Charting Number,Genre
Flo Rida,Low,Mmmmmmmm Let me talk to em Let me talk to em Let it rain Mmmmmmm Let me talk to em Cmon Shawty had them apple bottom jeans jeans Boots with the fur with the fur The whole club was looking at her She hit the floor she hit the floor Next thing you know Shawty got low low low low low low low low Them baggy sweat pants And the Reeboks with the straps with the straps She turned around and gave that big booty a smack hey She hit the floor she hit the floor Next thing you know Shawty got low low low low low low low low I aint never seen nothing thatll make me go This crazy all night spending my dough Had a million dollar vibe and a bottle to go Them birthday cakes they stole the show So sexual She was flexible professional Drinking XO Hold up wait a minute do I see what I think Whoa Did I think I see shawty get low Aint the same when its up that close Make it rain Im making it snow Work the pole I got the bank roll Imma say that I prefer them no clothes Im into that I love women exposed She threw it back at me I gave her more Cash aint no problem I know where it goes She had them Apple bottom jeans jeans Boots with the fur with the fur The whole club was looking at her She hit the floor she hit the floor Next thing you know Shawty got low low low low low low low low Them baggy sweat pants And the Reeboks with the straps with the straps She turned around and gave that big booty a smack hey She hit the floor she hit the floor Next thing you know Shawty got low low low low low low low low Hey shawty what I gotta do to get you home My jeans full of guap and theyre ready for shones Cadillacs Maybachs for the sexy grown Patron on the rocks thatll make you moan One stack come on two stacks come on three stacks come on Now thats three grand What you think Im playing baby girl Im the man Ill bend the rubber bands Thats what I told her Her legs on my shoulder I knew it was over That Henny and Cola got me like a soldier She ready for Rover I couldnt control her So lucky on me I was just like a clover Shawty was hot like a toaster Sorry but I had to fold her Like a pornography poster She showed her Apple bottom jeans jeans Boots with the fur with the fur The whole club was looking at her She hit the floor she hit the floor Next thing you know Shawty got low low low low low low low low Them baggy sweat pants And the Reeboks with the straps with the straps She turned around and gave that big booty a smack hey She hit the floor she hit the floor Next thing you know Shawty got low low low low low low low low Whoa shawty yeah she was worth the money Little mama took my cash And I aint want it back The way she bent that back Got her them paper stacks Tattoo above her crack I had to handle that I was on it sexy woman Let me showing and made me want it Two in the morning Im zoning And them Ros bottles foaming She wouldnt stop Made it drop Shawty did that pop and lock Had to break her off that guap Gal was fly just like my Glock Apple bottom jeans jeans Boots with the fur with the fur The whole club was looking at her She hit the floor she hit the floor Next thing you know Shawty got low low low low low low low low Them baggy sweat pants And the Reeboks with the straps with the straps She turned around and gave that big booty a smack hey She hit the floor she hit the floor Next thing you know Shawty got low low low low low low low low  Cmon,1,Rap
Leona Lewis,Bleeding Love,Closed off from love I didnt need the pain Once or twice was enough And it was all in vain Time starts to pass Before you know it youre frozen  But something happened For the very first time with you My heart melted to the ground Found something true And everyones looking round Thinking Im going crazy  But I dont care what they say Im in love with you They try to pull me away But they dont know the truth My hearts crippled by the vein That I keep on closing You cut me open and I  Keep bleeding Keep keep bleeding love I keep bleeding I keep keep bleeding love Keep bleeding Keep keep bleeding love You cut me open  Trying hard not to hear But they talk so loud Their piercing sounds fill my ears Try to fill me with doubt Yet I know that their goal Is to keep me from falling  But nothings greater than the rush that comes with your embrace And in this world of loneliness I see your face Yet everyone around me Thinks that Im going crazy maybe maybe  But I dont care what they say Im in love with you They try to pull me away But they dont know the truth My hearts crippled by the vein That I keep on closing You cut me open and I  Keep bleeding Keep keep bleeding love I keep bleeding I keep keep bleeding love Keep bleeding Keep keep bleeding love You cut me open  And its draining all of me Oh they find it hard to believe Ill be wearing these scars For everyone to see  I dont care what they say Im in love with you They try to pull me away But they dont know the truth My hearts crippled by the vein That I keep on closing You cut me open and I  Keep bleeding Keep keep bleeding love I keep bleeding I keep keep bleeding love Keep bleeding Keep keep bleeding love You cut me open and I  Keep bleeding Keep keep bleeding love I keep bleeding I keep keep bleeding love Keep bleeding Keep keep bleeding love You cut me open and I Keep bleeding Keep keep bleeding love,2,Pop
Alicia Keys,No One,I just want you close Where you can stay forever You can be sure That it will only get better  You and me together Through the days and nights I dont worry cause Everythings gonna be alright People keep talking they can say what they like But all I know is everythings gonna be alright  No one no one no one Can get in the way of what Im feeling No one no one no one Can get in the way of what I feel for you you you Can get in the way of what I feel for you  When the rain is pouring down And my heart is hurting You will always be around This I know for certain  You and me together Through the days and nights I dont worry cause Everythings gonna be alright People keep talking they can say what they like But all I know is everythings gonna be alright  No one no one no one Can get in the way of what Im feeling No one no one no one Can get in the way of what I feel for you you you Can get in the way of what I feel  I know some people search the world To find something like what we have I know people will try try to divide something so real So till the end of time Im telling you there aint no one  No one no one Can get in the way of what Im feeling No one no one no one Can get in the way of what I feel for you  Oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh ohh Oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh ohh,3,R&B
Lil Wayne,Lollipop,Lil Wayne  Intro UhhuhNo homo Young Mula baby I say he so sweet make her wanna lick the rapper Remix baby  Kanye West Lollipop lollipop Breasts is just like Dolly Parton She ride my spaceship til she hit the top That hit the spot til she ask How many liiliilicks do it take til she get to shop Dont worry why my wrist got so freeze Tell her Girl like Doritos thats nacho cheese Tell her friends Like Fritos Im tryin to Lay I caint only have one and I aint tryin to wait This a song with Wayne say you know its gon melt Butchu aint finna murder me like everybody else Ima rap like I got some type of respect for myself I dont do it for my health man I do it for the belt Man I do it to the death til the roof get melt Hunnid degrees drop the roof so the Coupe dont melt Man the flow so cold chicken soup wont help We need fo mo hoes we need ohhohhOHOHHH You know what it is when were outta town We ball in two seats and you out of booooounds So come here baby guuurrrrl You now fuckin wit the best in the woooooooooooooooooorld Lollipoppop The best in the woooooooOOOOOOOOOOOOORLD Shshshe lick me like a lollipop Sheshe lick me like a lollipop Woooorldwoooorld  Chorus 2X Static Major Shawty want a thug thug thug Bottles in the club club club Shawty wanna hump you know I like to touch Your lovely lady lumps lumps lumps  Lil Wayne Shawty say she wanna lick the rapper And she gonna lick the rapper And I just wanna act like a pornoflicking actor I Anita Bake her now she caught up in that Rapture I got so much chips I swear they call me Hewlett Packard I got so much chips you can have a bag if youre a snacker Greedy muthafudge cakes now tell me how dat fudge taste I do it for Bloods sake suuwoo think its voodoo How that roof do dididissipate your girl wants to participate She sososophisticate cause her brain is off the chain And then my diamonds are in the choir because they sang from off my chain And my Nina just joined the gang because all she do is bang Like Ricky Martin Wayne and Kanye  pick your poison If that woman wanna cut then tell her I am Mr Ointment Tell her to make an appointment with Mr Icantmakeanappointment Take my lollipop and enjoy it  remix  Chorus 2X w adlibs  Lil Wayne Why would she She probably be the odd cookie In the plastic bag bout to get crushed by a building I flushed out the feeling of me bein the shit cause I was leavin skid marks on evrywhere I sit I am everywhere Im it like HidenGo And I can go anywhere innie minnie miney mo Im in yo neighborhood area CD thang tape deck IPod ya gurlfriend and she say I got great sex Safe sex is great sex better wear a latex cause you dont want that late text that I think Im late text Hehheh so wrap it up Bububut hes so sweet shshe wanna lick the rapper  Chorus  REREREREMIX BABAY  Static Major  Outro Lick me like a lollipoplollipop Sheshe lick me like a lollipoplollipop Shshshe lick me like a lollipoplollipop Sheshe lick me like a lollipoplollipop echoes,4,Rap
Timbaland,Apologize,Im holding on your rope Got me ten feet off the ground And Im hearing what you say But I just cant make a sound You tell me that you need me Then you go and cut me down But wait You tell me that youre sorry Didnt think Id turn around and say  That its too late to apologize its too late I said its too late to apologize its too late  Id take another chance take a fall take a shot for you And I need you like a heart needs a beat But thats nothing new  I loved you with a fire red now its turning blue And you say Sorry like an angel Heaven let me think was you But Im afraid  Its too late to apologize its too late I said its too late to apologize its too late Woahooo woah  Its too late to apologize its too late I said its too late to apologize its too late I said its too late to apologize yeah I said its too late to apologize yeah  Im holding on your rope Got me ten feet off the ground,5,Rap
Jordin Sparks,No Air,Jordin Tell me how Im supposed to breathe with no air  If I should die before I wake Its cause you took my breath away Losing you is like living in a world with no air Oh  Chris Brown Im here alone didnt wanna leave My heart wont move its incomplete Wish there was a way that I can make you understand  Jordin But how do you expect me to live alone with just me Cause my world revolves around you Its so hard for me to breathe Tell me how Im supposed to breathe with no air Cant live cant breathe with no air Its how I feel whenever you aint there Its no air no air Got me out here in the water so deep Tell me how you gonna be without me If you aint here I just cant breathe Its no air no air  No air air No air air No air air No air air  Chris Brown I walked I ran I jumped I flew Right off the ground to float to you Theres no gravity to hold me down for real  Jordin But somehow Im still alive inside You took my breath but I survived I dont know how but I dont even care So how do you expect me to live alone with just me Cause my world revolves around you Its so hard for me to breathe  Chorus  No air air No air air No air air No air air No more Its no air no air  Chorus  No air air No air air No air air No air air  Tell me how Im supposed to breathe with no air Cant live cant breathe with no air Its how I feel whenever you aint there Its no air no air  Got me out here in the water so deep Tell me how you gonna be without me If you aint here I just cant breathe Its no air no air  No air air No air air No air air No air,6,Pop
Sara Bareilles,Love Song,Head under water And they tell me to breathe easy for a while The breathing gets harder even I know that Made room for me Its too soon to see If Im happy in your hands Im unusually hard to hold on to  Blank stares at blank pages No easy way to say this You mean well but you make this hard on me  Im not gonna write you a love song Cause you asked for it Cause you need one you see Im not gonna write you a love song Cause you tell me its make or break in this If youre on your way Im not gonna write you to stay If all you have is leaving Imma need a better reason To write you a love song today today  I learned the hard way That they all say things you wanna hear And my heavy heart sinks deep down under you and your twisted words Your help just hurts You are not what I thought you were Hello to high and dry  Convinced me to please you Made me think that I need this too Im trying to let you hear me as I am  Im not gonna write you a love song Cause you asked for it Cause you need one you see Im not gonna write you a love song Cause you tell me its make or break in this If youre on your way Im not gonna write you to stay If all you have is leaving Imma need a better reason To write you a love song today  Promise me youll leave the light on To help me see with daylight my guide gone Cause I believe theres a way you can love me Because I say  I wont write you a love song Cause you asked for it Cause you need one you see Im not gonna write you a love song Cause you tell me its make or break in this  Is that why you wanted a love song Cause you asked for it Cause you need one you see Im not gonna write you a love song Cause you tell me its make or break in this If youre on your way Im not gonna write you to stay If your heart is nowhere in it I dont want it for a minute Babe Ill walk the seven seas When I believe that theres a reason To write you a love song today today,7,Pop
Usher,Love In This Club,I gotta do it for the ladies And I gotta keep it hood Where we at Polo I see you Ryan You Keith you was right We just getting it started Yeah man  You say youre searching for somebody that will take you out and do you right Well come here baby and let daddy show you what it feels like You know all you gotta do is tell me what youre sipping on And I promise that Im gonna keep it coming all night long  Looking in your eyes While youre on the other side And I think that shorty I gotta thing for you Youre doing it on purpose wind it and work it I can tell by the way that youre looking at me girl  I wanna make love in this club In this club In this club In this club I wanna make love in this club In this club In this club In this club  Listen if you got some friends rolling with you than baby thats cool You can leave them with my niggas let them know that I got you If you didnt know youre the only thing thats on my mind cause the way Im staring at you got me wanting to give it to you all night  Looking in your eyes While youre on the other side I cant take it no more baby Im coming for you Youre doing it on purpose wind it and work it If we close our eyes it could just be me and you  Chorus x2  Young Jeezy Im what you want Im what you need He got to trap Ill set you free Sexually mentally physically emotionally Ill be like your medicine youll take every dose of me Its going down on isle 3 Ill bag you like some groceries And every time you think about it youre gonna want some more of me About to hit the club make a movie yeah rated R Pull up like a Trap Star Thats if you had Have you ever made love to a thug in the club with his sights on 87 jeans and a fresh pair of Nikes on On the couch on the table on the bar on the floor You can meet me in the bathroom you know Im trained to go  Might as well give me a kiss if we keep touching like this I know youre scared baby they dont know what were doing Lets both get undressed right here keep it up girl and I swear Im gonna give it to you nonstop And I dont care whos watching  Chorus till fade,8,Pop
Chris Brown,With You,x2 I need you boo oh I gotta see you boo hey And the hearts all over the world tonight Said the hearts all over the world tonight  Verse 1 Hey Little mama Ooh youre a stunner Hot little figure Yes youre a winner And Im so glad to be yours Youre a class all your own And Oh little cutie When you talk to me I swear the whole world stops Youre my sweetheart And Im so glad that youre mine You are one of a kind and You mean to me What I mean to you and Together baby There is nothing we wont do Cause if I got you I dont need money I dont need cars Girl youre my all And Oh Im into you And girl No one else would do Cause with every kiss and every hug You make me fall in love And now I know I cant be the only one I bet there hearts all over the world tonight With the love of their life who feels What I feel when Im  With you x5 Girl With you x5  Verse 2 Oh girl I dont want nobody else Without you theres no one left and Youre like Jordans on Saturday I gotta have you and I cannot wait now Hey Little shawty Say you care for me You know I care for you You know that Ill be true You know that I wont lie You know that I would try To be your everything yeah Cause if I got you I dont need money I dont need cars Girl youre my all And  Chorus  With you x5 Oh With you x5 Yeah heh  Bridge 2 And I Will never try to deny that youre my whole life Cause if you ever let me go I would die So I wont front I dont need another woman I just need your all and nothing Cause if I got that Then Ill be straight Baby youre the best part of my day  I need you boo I gotta see you boo And the hearts all over the world tonight Said the hearts all over the world tonight  Woo oh yeah  They need it boo They gotta see their boo Said the hearts all over the world tonight Hearts all over the world tonight  Chorus  With you x5 Girl With you x5 Oh,9,Pop
Chris Brown,Forever,1 2 3 4  Hey hey oh Hey hey oh  Its you and me Moving at the speed of light into eternity yeah Tonight is the night to join me in the middle of ecstasy Feel the melody in the rhythm of the music around you around you Imma take you there Imma take you there So dont be scared Im right here baby We can go anywhere go anywhere But first its your chance Take my hand come with me Its like Ive waited my whole life for this one night Its gon be me you and the dance floor Cause weve only got one night Double your pleasure Double your fun and dance Forever ever ever Forever ever ever Forever ever ever Forever girl forever Forever ever ever Forever ever ever Forever ever ever Forever on the dance floor  Feels like were on another level Feels like our loves intertwined We can be two rebels breaking the rules Me and you you and I All you got to do is watch me Look what I can do with my feet Baby feel the beat inside Im driving you can take the front seat Just need you to trust me Oh ah oh Its like  Chorus  Its a long way down Were so high off the ground Sending for an angel to bring me your heart Girl where did you come from Got me so undone Gazing in your eyes got me singing what a beautiful lady No ifs ands or maybes Im releasing my heart and its feeling amazing Theres no one else that matters You love me and I wont let you fall girl Let you fall girl oh Ah ah yeah yeah I wont let you fall let you fall Let you fall oh oh Yeah yeah Yeah yeah Its like  Chorus  Oh ah ah ah ah ah Yeah Forever ever ever ever Forever ever ah,10,Pop
