,Artist,Song,Lyrics,Genre,Charting Number
0,Drake,God's Plan,Yeah they wishin and wishin and wishin and wishin They wishin on me  I been movin calm dont start no trouble with me Tryna keep it peaceful is a struggle for me Dont pull up at 6 AM to cuddle with me You know how I like it when you lovin on me I dont wanna die for them to miss me Yes I see the things that they wishin on me Hope I got some brothers that outlive me They gon tell the story shit was different with me  Gods plan Gods plan I hold back sometimes I wont yeah I feel good sometimes I dont ayy dont I finessed down Weston Road ayy nessed Might go down a GOD yeah wait I go hard on Southside G yeah wait I make sure that northside eat  And still Bad things Its a lot of bad things That they wishin and wishin and wishin and wishin They wishin on me Bad things Its a lot of bad things That they wishin and wishin and wishin and wishin They wishin on me Yuh ayy ayy  She said Do you love me I tell her Only partly I only love my bed and my momma Im sorry Fifty Dub I even got it tatted on me 81 theyll bring the crashers to the party And you know me Turn the O2 into the O3 dog Without 40 Oli there would be no me Imagine if I never met the broskies  Gods plan Gods plan I cant do this on my own ayy no ayy Someone watchin this shit close yep close Ive been me since Scarlett Road ayy road ayy Might go down as GOD yeah wait I go hard on Southside G ayy wait I make sure that northside eat And still  Bad things Its a lot of bad things That they wishin and wishin and wishin and wishin They wishin on me Yeah yeah Bad things Its a lot of bad things That they wishin and wishin and wishin and wishin They wishin on me Yeah,Rap,1
1,Ed Sheeran,Perfect,I found a love for me Darling just dive right in and follow my lead Well I found a girl beautiful and sweet Oh I never knew you were the someone waiting for me  Cause we were just kids when we fell in love Not knowing what it was I will not give you up this time But darling just kiss me slow Your heart is all I own And in your eyes youre holding mine  Baby Im dancing in the dark With you between my arms Barefoot on the grass Listening to our favourite song When you said you looked a mess I whispered underneath my breath But you heard it Darling you look perfect tonight  Well I found a woman stronger than anyone I know She shares my dreams I hope that someday Ill share her home I found a love to carry more than just my secrets To carry love to carry children of our own  We are still kids but were so in love Fighting against all odds I know well be alright this time Darling just hold my hand Be my girl Ill be your man I see my future in your eyes  Baby Im dancing in the dark With you between my arms Barefoot on the grass Listening to our favourite song When I saw you in that dress Looking so beautiful I dont deserve this Darling you look perfect tonight  Baby Im dancing in the dark With you between my arms Barefoot on the grass Listening to our favourite song I have faith in what I see Now I know I have met an angel in person And she looks perfect I dont deserve this You look perfect tonight,Pop,2
2,Bebe Rexha,Meant To Be, Baby lay on back and relax Kick your pretty feet up on my dash No need to go nowhere fast lets enjoy right here where we at  Who knows where this road is supposed to lead We got nothing but time As long as youre right here next to me everythings gonna be alright  If its meant to be itll be itll be Baby just let it be If its meant to be itll be itll be Baby just let it be So wont you ride with me ride with me See where this thing goes If its meant to be itll be itll be Baby if its meant to be  I dont mean to be so uptight But my hearts been hurt a couple times by a couple guys that didnt treat me right I aint gon lie aint gon lie Cause Im tired of the fake love show me what youre made of Boy make me believe  Oh hold up girl dont you know youre beautiful And its easy to see  If its meant to be itll be itll be Baby just let it be If its meant to be itll be itll be Baby just let it be So wont you ride with me ride with me See where this thing goes If its meant to be itll be itll be Baby if its meant to be  So cmon ride with me ride with me See where this thing goes So cmon ride with me ride with me Baby if its meant to be  Bebe Rexha Florida Georgia Line Both Maybe we do Maybe we dont Maybe we will Maybe we wont  But if its meant to be itll be itll be Baby just let it be If its meant to be itll be itll be cmon Baby just let it be lets go So wont you ride with me ride with me See where this thing goes If its meant to be itll be itll be Baby if its meant to be  Bebe Rexha Florida Georgia Line Both If its meant to be itll be itll be Baby if its meant to be If its meant to be itll be itll be Baby if its meant to be,Pop,3
3,Camila Cabello,Havana, Havana ooh nana ay Half of my heart is in Havana oohnana ay ay He took me back to East Atlanta nanana Oh but my heart is in Havana ay Theres somethin bout his manners uh huh Havana ooh nana  He didnt walk up with that how you doin When he came in the room He said theres a lot of girls I can do with But I cant without you I knew him forever in a minute That summer night in June And papa says he got malo in him He got me feelin like  Ooh I knew it when I met him I loved him when I left him Got me feelin like Ooh and then I had to tell him I had to go oh nanananana  Havana ooh nana ay Half of my heart is in Havana oohnana ay ay He took me back to East Atlanta nanana uh huh Oh but my heart is in Havana ay My heart is in Havana Havana ooh nana  Jeffery Just graduated fresh on campus mmm Fresh out East Atlanta with no manners damn Fresh out East Atlanta Bump on her bumper like a traffic jam jam Hey I was quick to pay that girl like Uncle Sam here you go ay Back it on me shawty cravin on me Get to eating on me on me She waited on me then what Shawty cakin on me got the bacon on me wait up This is history in the makin on me on me Point blank close range that B If it cost a million thats me thats me I was gettin mula pretty baby  Havana ooh nana ay ay Half of my heart is in Havana oohnana oh ay ay He took me back to East Atlanta nanana oh no Oh but my heart is in Havana My heart is in Havana Havana ooh nana  Ooh nana oh nanana Take me back back back like Ooh nana oh nanana Take me back back back like Ooh nana oh nanana Take me back back back like Ooh nana oh nanana Take me back back back Yeah ay Ooh Take me back to my Havana  Havana ooh nana Half of my heart is in Havana oohnana oh yeah He took me back to East Atlanta nanana Oh but my heart is in Havana My heart is in Havana ay Havana ooh nana  Uh huh Oh nanana No no no take me back Oh nanana Havana ooh nana,Pop,4
4,Post Malone,Rockstar, Hahahahaha Tank God  Ayy Ive been fuckin hoes and poppin pillies Man I feel just like a rockstar star Ayy ayy all my brothers got that gas And they always be smokin like a Rasta Fuckin with me call up on a Uzi And show up man them the shottas When my homies pull up on your block They make that thing go grrratatata pow pow pow  Ayy ayy switch my whip came back in black Im startin sayin Rest in peace to Bon Scott Ayy close that door we blowin smoke She ask me light a fire like Im Morrison Ayy act a fool on stage Prolly leave my fuckin show in a cop car Ayy shit was legendary Threw a TV out the window of the Montage Cocaine on the table liquor pourin dont give a damn Dude your girlfriend is a groupie she just tryna get in Sayin Im with the band Ayy ayy now she actin outta pocket Tryna grab up from my pants Hundred bitches in my trailer say they aint got a man And they all brought a friend Yeah ayy  Ayy ayy Ive been fuckin hoes and poppin pillies Man I feel just like a rockstar star Ayy ayy all my brothers got that gas And they always be smokin like a Rasta Fuckin with me call up on a Uzi And show up man them the shottas When my homies pull up on your block They make that thing go grrratatata pow pow pow  Ive been in the Hills fuckin superstars Feelin like a popstar 21 21 21 Drankin Henny bad bitches jumpin in the pool And they aint got on no bra no bra Hit her from the back pullin on her tracks And now she screamin out No mas yeah yeah yeah They like Savage why you got a 12 car garage And you only got 6 cars 21 I aint with the cakin how you kiss that kiss that Your wifey say Im lookin like a whole snack big snack Green hundreds in my safe I got old racks old racks LA bitches always askin Where the coke at Livin like a rockstar smash out on a cop car Sweeter than a PopTart you know you are not hard I done made the hot chart member I used to trap hard Livin like a rockstar Im livin like a rockstar  Ayy Ive been fuckin hoes and poppin pillies Man I feel just like a rockstar star Ayy ayy all my brothers got that gas And they always be smokin like a Rasta Fuckin with me call up on a Uzi And show up man them the shottas When my homies pull up on your block They make that thing go grrratatata pow pow pow  Star star rockstar rockstar star Rockstar Rockstar feel just like a rock Rockstar Rockstar Rockstar Feel just like a,Rap,5
5,Post Malone,Psycho, Damn my AP goin psycho lil mama bad like Michael Cant really trust nobody with all this jewelry on you My roof look like a noshow got diamonds by the boatload Come with the Tony Romo for clowns and all the bozos My AP goin psycho lil mama bad like Michael Cant really trust nobody with all this jewelry on you My roof look like a noshow got diamonds by the boatload Dont act like you my friend when Im rollin through my ends though  You stuck in the friend zone I tell that fourfive the fifth ayy Hunnid bands inside my shorts DeChino the shit ayy Try to stuff it all in but it dont even fit ayy Know that I been with the shits ever since a jit ayy I made my first million Im like Shit this is it ayy 30 for a walk through man we had that bitch lit ayy Had so many bottles gave ugly girl a sip Out the window of the Benzo we get seen in the rent And Im like Whoa man my neck so goddamn cold Diamonds wet my tshirt soaked I got homies let it go oh My money thick wont ever fold She said Can I have some to hold And I cant ever tell you no  Damn my AP goin psycho lil mama bad like Michael Cant really trust nobody with all this jewelry on you My roof look like a noshow got diamonds by the boatload Come with the Tony Romo for clowns and all the bozos My AP goin psycho lil mama bad like Michael Cant really trust nobody with all this jewelry on you My roof look like a noshow got diamonds by the boatload Dont act like you my friend when Im rollin through my ends though  The AP goin psycho my Rollie goin brazy Im hittin lil mama she wanna have my babies Its fifty on the pinky chain so stanky You should see the whip promise I can take yo bitch Dolla ridin in an old school Chevy its a drop top Boolin with a thotthot she gon give me toptop Just one switch I can make the ass drop hey Uh take you to the smoke shop We gon get high ayy we gon hit Rodeo Dial up Valentino we gon hit Pico Take you where Im from take you to the slums This aint happen overnight no these diamonds real bright Saint Laurent jeans still in my Vans though All VVSs put you in a necklace Girl you look beautiful tonight Stars on the roof they matching with the jewelry  Damn my AP goin psycho lil mama bad like Michael Cant really trust nobody with all this jewelry on you My roof look like a noshow got diamonds by the boatload Come with the Tony Romo for clowns and all the bozos My AP goin psycho lil mama bad like Michael Cant really trust nobody with all this jewelry on you My roof look like a noshow got diamonds by the boatload Dont act like you my friend when Im rollin through my ends though,Rap,6
6,Cardi B,I Like It,Yeah baby I like it like that You gotta believe me when I tell you I said I like it like that You gotta believe me when I tell you I said I like it like  Now I like dollars I like diamonds I like stunting I like shining I like million dollar deals wheres my pen Bitch Im signin I like those Balenciagas the ones that look like socks I like going to the jeweler I put rocks all in my watch I like texts from my exes when they want a second chance I like proving niggas wrong I do what they say I cant They call me Cardi Bardi banging body Spicy mami hot tamale Hotter than a Somali fur coat Ferrari Hop out the stu jump in the coupe the coupe They trippin on top of the roof Flexing on bitches as hard as I can Eating halal driving the Lam Told that bitch Im sorry though Bout my coins like Mario Mario Yeah they call me Cardi B I run this shit like cardio Oh damn  Diamond district in the jag I said I like it like that Certified you know Im gang gang gang gang I said I like it like Drop the top and blow the brains I said I like it like that Oh hes so handsome whats his name I said I like it Oh I need the dollars I said I like it like that Beat it up like piatas I said I like it like Tell the driver close the curtains I said I like it like that Bad bitch make him nervous I said I like it Cardi B  Chambean chambean pero no jalan Jalan T compras toa las Jordan bobo a m me las regalan jejeje I spend in the club wuh what you have in the bank yeh This is the new religion bang en Latino gang gang yeh Trato de hacer dieta yeh pero es que en el closet tengo mucha grasa wuh Ya mude la Gucci pa dentro de casa yeh Wuh Cabrn a ti no te conocen ni en Plaza no El Diablo me llama pero Jesucristo me abraza amn Guerrero como Eddie que viva la raza yeh Me gustan boricuas me gustan cubanas Me gusta el acento de las colombianas Qu hubo pues Como mueve el culo la dominicana Qu lo que Lo rico que me chingan las venezolanas Wuh Andamos activos Perico Pin Pin woo Billetes de cien en el maletn ching Que retumbe el bajo Bobby Valentin yeh boo Aqu es prohibido amar diles Charytn Que pal picor les tengo Claritin Yo llego a la disco y se forma el motn rrr  Diamond district in the jag I said I like it like that Bad Bunny baby be be be be Certified you know Im gang gang gang gang I said I like it like Drop the top and blow the brains I said I like it like that Oh hes so handsome whats his name I said I like it Oh I need the dollars I said I like it like that Beat it up like piatas I said I like it like Tell the driver close the curtains I said I like it like that Bad bitch make you nervous I said I like it  Como Celia Cruz tengo el azcar azca Tu jeva me vio y se fue de pecho como Jimmy Snuka ah Te vamos a tumbar la peluca Y arranca pal carajo cabrn que a ti no te voa pasar la hookah hookah hookah Mis tenis Balenciaga me reciben en la entrada woo Papapaparazzi like Im Lady Gaga woo Y no te me hagas ey Que en cover de Billboard t has visto mi cara ey No salgo de tu mente Donde quieras que viajes has escuchado Mi Gente Yo no soy high high soy como el Testarossa rossa Yo soy el que se la vive y tambin el que la goza goza goza Es la cosa mami es la cosa cosa cosa El que mira sufre y el que toca goza goza goza  I said I like it like that I said I like it like that I said I like it like that I said I like it like that  Diamond district in the jag I said I like it like that Certified you know Im gang I said I like it like Drop the top and blow the brains I said I like it like that Oh hes so handsome whats his name I said I like it,Rap,7
7,Zedd,The Middle,Take a seat Right over there sat on the stairs Stay or leave The cabinets are bare and Im unaware Of just how we got into this mess Got so aggressive I know we meant all good intentions  So pull me closer Why dont you pull me close Why dont you come on over I cant just let you go  Oh baby Why dont you just meet me in the middle Im losing my mind just a little So why dont you just meet me in the middle In the middle Baby Why dont you just meet me in the middle Im losing my mind just a little So why dont you just meet me in the middle In the middle  Take a step Back for a minute into the kitchen Floors are wet And taps are still running dishes are broken How did we get into this mess Got so aggressive I know we meant all good intentions  So pull me closer Why dont you pull me close Why dont you come on over I cant just let you go  Oh baby Why dont you just meet me in the middle Im losing my mind just a little So why dont you just meet me in the middle In the middle  Looking at you I cant lie Just pouring out admission Regardless my objection And its not about my pride I need you on my skin just Come over pull me in just  Oh baby Why dont you just meet me in the middle Im losing my mind just a little So why dont you just meet me in the middle In the middle no no  Baby Why dont you just meet me in the middle oh yeah Im losing my mind just a little So why dont you just meet me in the middle oh In the middle Baby Why dont you just meet me in the middle baby Im losing my mind just a little So why dont you just meet me in the middle middle In the middle middle,Pop,8
8,Drake,In My Feelings, Trap TrapMoneyBenny This shit got me in my feelings Gotta be real with it yup  Kiki do you love me Are you riding Say youll never ever leave from beside me Cause I want ya and I need ya And Im down for you always KB do you love me Are you riding Say youll never ever leave from beside me Cause I want ya and I need ya And Im down for you always  Look the new me is really still the real me I swear you gotta feel me before they try and kill me They gotta make some choices they runnin out of options Cause Ive been goin off and they dont know when its stoppin And when you get to toppin I see that youve been learnin And when I take you shoppin you spend it like you earned it And when you popped off on your ex he deserved it I thought you were the one from the jump that confirmed it TrapMoneyBenny I buy you Champagne but you love some Henny From the block like you Jenny I know you special girl cause I know too many  Resha do you love me Are you riding Say youll never ever leave from beside me Cause I want ya and I need ya And Im down for you always JT do you love me Are you riding Say youll never ever leave from beside me Cause I want ya and I need ya And Im down for you always  Two bad bitches and we kissin in the Wraith Kissinkissin in the Wraith kisskissin in the Wraith I need that black card and the code to the safe Code to the safe codecode to the safesafe I show him how that neck work Fuck that Netflix and chillwhats your netnetnet worth  Cause I want ya and I need ya And Im down for you always Yea yea yea yea he bad And Im down for you always Yea yea yea guess whos back And Im down for you always Ddown for you al Black biggy biggy black biggy black blake Dddown for you always I got a new boy and that nigga trade  Kiki do you love me Are you riding Say youll never ever leave from beside me Cause I want you and I need you And Im down for you always KB do you love me Are you riding Say youll never ever leave from beside me Cause I want ya and I  Bring that ass bring that ass bring that ass back Bbring that ass bring that ass bring that ass back Shawty say the nigga that she with cant hit But shawty Ima hit it hit it like I cant miss Clap that ass youre the only one I love Clap that ass clapclap that ass Bring that ass back Clap that ass youre the only one I love Lets go lets go lets go Bring that ass back  Trap TrapMoneyBenny This shit got me in my feelings I just gotta be real with it yup BlaqNmilD you a genius you diggin me  I dont even care I need a photo with Drake Because my Instagram is weak as fuck Im just being real my shit look,Rap,9
9,Maroon 5,Girls Like You,Spent 24 hours I need more hours with you You spent the weekend getting even ooh We spent the late nights making things right between us But now its all good babe Roll that Backwood babe And play me close  Cause girls like you run round with guys like me Til sundown when I come through I need a girl like you yeah yeah Girls like you love fun and yeah me too What I want when I come through I need a girl like you yeah yeah  Yeah yeah yeah yeah yeah yeah I need a girl like you yeah yeah Yeah yeah yeah yeah yeah yeah I need a girl like you  I spent last night on the last flight to you Took a whole day up trying to get way up ooh We spent the daylight trying to make things right between us But now its all good babe Roll that Backwood babe And play me close  Cause girls like you run round with guys like me Til sundown when I come through I need a girl like you yeah yeah Girls like you love fun and yeah me too What I want when I come through I need a girl like you yeah yeah  Yeah yeah yeah yeah yeah yeah I need a girl like you yeah yeah Yeah yeah yeah yeah yeah yeah I need a girl like you yeah yeah I need a girl like you yeah yeah I need a girl like you  Maybe its 645 Maybe Im barely alive Maybe youve taken my shit for the last time yeah Maybe I know that Im drunk Maybe I know youre the one Maybe you thinking its better if you drive  Cause girls like you run round with guys like me Til sundown when I come through I need a girl like you yeah Cause girls like you run round with guys like me Til sundown when I come through I need a girl like you yeah yeah Girls like you love fun and yeah me too What I want when I come through I need a girl like you yeah yeah  Yeah yeah yeah yeah yeah yeah I need a girl like you yeah yeah Yeah yeah yeah yeah yeah yeah I need a girl like you,Pop,10
