Artist,Song,Lyrics,Genre,Year,Rank
Flo Rida,Low,Mmmmmmmm Let me talk to em Let me talk to em Let it rain Mmmmmmm Let me talk to em Cmon Shawty had them apple bottom jeans jeans Boots with the fur with the fur The whole club was looking at her She hit the floor she hit the floor Next thing you know Shawty got low low low low low low low low Them baggy sweat pants And the Reeboks with the straps with the straps She turned around and gave that big booty a smack hey She hit the floor she hit the floor Next thing you know Shawty got low low low low low low low low I aint never seen nothing thatll make me go This crazy all night spending my dough Had a million dollar vibe and a bottle to go Them birthday cakes they stole the show So sexual She was flexible professional Drinking XO Hold up wait a minute do I see what I think Whoa Did I think I see shawty get low Aint the same when its up that close Make it rain Im making it snow Work the pole I got the bank roll Imma say that I prefer them no clothes Im into that I love women exposed She threw it back at me I gave her more Cash aint no problem I know where it goes She had them Apple bottom jeans jeans Boots with the fur with the fur The whole club was looking at her She hit the floor she hit the floor Next thing you know Shawty got low low low low low low low low Them baggy sweat pants And the Reeboks with the straps with the straps She turned around and gave that big booty a smack hey She hit the floor she hit the floor Next thing you know Shawty got low low low low low low low low Hey shawty what I gotta do to get you home My jeans full of guap and theyre ready for shones Cadillacs Maybachs for the sexy grown Patron on the rocks thatll make you moan One stack come on two stacks come on three stacks come on Now thats three grand What you think Im playing baby girl Im the man Ill bend the rubber bands Thats what I told her Her legs on my shoulder I knew it was over That Henny and Cola got me like a soldier She ready for Rover I couldnt control her So lucky on me I was just like a clover Shawty was hot like a toaster Sorry but I had to fold her Like a pornography poster She showed her Apple bottom jeans jeans Boots with the fur with the fur The whole club was looking at her She hit the floor she hit the floor Next thing you know Shawty got low low low low low low low low Them baggy sweat pants And the Reeboks with the straps with the straps She turned around and gave that big booty a smack hey She hit the floor she hit the floor Next thing you know Shawty got low low low low low low low low Whoa shawty yeah she was worth the money Little mama took my cash And I aint want it back The way she bent that back Got her them paper stacks Tattoo above her crack I had to handle that I was on it sexy woman Let me showing and made me want it Two in the morning Im zoning And them Ros bottles foaming She wouldnt stop Made it drop Shawty did that pop and lock Had to break her off that guap Gal was fly just like my Glock Apple bottom jeans jeans Boots with the fur with the fur The whole club was looking at her She hit the floor she hit the floor Next thing you know Shawty got low low low low low low low low Them baggy sweat pants And the Reeboks with the straps with the straps She turned around and gave that big booty a smack hey She hit the floor she hit the floor Next thing you know Shawty got low low low low low low low low  Cmon,pop,2008,1
Jesse McCartney,Leavin',Hey baby girl Ive been watching you all day Man that thing you got behind you is amazing You make me wanna take you out and let it rain I know you got a man but this is what you should say  Why dont you tell him that Im leavin never looking back again You found somebody who does it better than he can No more making you cry No more them gray skies Girl were flying on a G5 G5 And were leavin never looking back again So call your shawty and tell him you found a new man The one whos so so fly The one to keep you high Have you singing all night like that  Man she gon be singing She gon be singing  Now if I talk it girl you know that I will walk it out Man Ill put my money money where my mouth is Cause youre the baddest little thing that Ive ever seen So Im gonna ask you one time if you got a man  Why dont you tell him that Im leavin never looking back again You found somebody who does it better than he can No more making you cry No more them gray skies Girl were flying on a G5 G5 And were leavin never looking back again So call your shawty and tell him you found a new man The one whos so so fly The one to keep you high Have you singing all night like that  Man she gon be singing She gon be singing She gon be singing She gon be singing You gon be singing  Dont stress dont stress dont stress Just tell him to the left left left Dont stress dont stress dont stress Cause we gone and we gone and we gone  No stress no stress no stress Girl you deserve nothing but the best No stress no stress no stress Girl you need to tell him  That Im leavin never looking back again You found somebody who does it better than he can No more making you cry No more them gray skies Girl were flying on a G5 G5 And were leavin never looking back again So call your shawty and tell him you found a new man The one whos so so fly The one to keep you high Have you singing all night like that  Man she gon be singing She gon be singing all night like that Man she gon be singing She gon be singing She gon be singing She gon be singing Girl you gon be singing,pop,2008,2
Leona Lewis,Bleeding Love,Closed off from love I didnt need the pain Once or twice was enough And it was all in vain Time starts to pass Before you know it youre frozen  But something happened For the very first time with you My heart melted to the ground Found something true And everyones looking round Thinking Im going crazy  But I dont care what they say Im in love with you They try to pull me away But they dont know the truth My hearts crippled by the vein That I keep on closing You cut me open and I  Keep bleeding Keep keep bleeding love I keep bleeding I keep keep bleeding love Keep bleeding Keep keep bleeding love You cut me open  Trying hard not to hear But they talk so loud Their piercing sounds fill my ears Try to fill me with doubt Yet I know that their goal Is to keep me from falling  But nothings greater than the rush that comes with your embrace And in this world of loneliness I see your face Yet everyone around me Thinks that Im going crazy maybe maybe  But I dont care what they say Im in love with you They try to pull me away But they dont know the truth My hearts crippled by the vein That I keep on closing You cut me open and I  Keep bleeding Keep keep bleeding love I keep bleeding I keep keep bleeding love Keep bleeding Keep keep bleeding love You cut me open  And its draining all of me Oh they find it hard to believe Ill be wearing these scars For everyone to see  I dont care what they say Im in love with you They try to pull me away But they dont know the truth My hearts crippled by the vein That I keep on closing You cut me open and I  Keep bleeding Keep keep bleeding love I keep bleeding I keep keep bleeding love Keep bleeding Keep keep bleeding love You cut me open and I  Keep bleeding Keep keep bleeding love I keep bleeding I keep keep bleeding love Keep bleeding Keep keep bleeding love You cut me open and I Keep bleeding Keep keep bleeding love,pop,2008,3
Timbaland,Apologize,Im holding on your rope Got me ten feet off the ground And Im hearing what you say But I just cant make a sound You tell me that you need me Then you go and cut me down But wait You tell me that youre sorry Didnt think Id turn around and say  That its too late to apologize its too late I said its too late to apologize its too late  Id take another chance take a fall take a shot for you And I need you like a heart needs a beat But thats nothing new  I loved you with a fire red now its turning blue And you say Sorry like an angel Heaven let me think was you But Im afraid  Its too late to apologize its too late I said its too late to apologize its too late Woahooo woah  Its too late to apologize its too late I said its too late to apologize its too late I said its too late to apologize yeah I said its too late to apologize yeah  Im holding on your rope Got me ten feet off the ground,pop,2008,4
Chris Brown,Forever,1 2 3 4  Hey hey oh Hey hey oh  Its you and me Moving at the speed of light into eternity yeah Tonight is the night to join me in the middle of ecstasy Feel the melody in the rhythm of the music around you around you Imma take you there Imma take you there So dont be scared Im right here baby We can go anywhere go anywhere But first its your chance Take my hand come with me Its like Ive waited my whole life for this one night Its gon be me you and the dance floor Cause weve only got one night Double your pleasure Double your fun and dance Forever ever ever Forever ever ever Forever ever ever Forever girl forever Forever ever ever Forever ever ever Forever ever ever Forever on the dance floor  Feels like were on another level Feels like our loves intertwined We can be two rebels breaking the rules Me and you you and I All you got to do is watch me Look what I can do with my feet Baby feel the beat inside Im driving you can take the front seat Just need you to trust me Oh ah oh Its like  Chorus  Its a long way down Were so high off the ground Sending for an angel to bring me your heart Girl where did you come from Got me so undone Gazing in your eyes got me singing what a beautiful lady No ifs ands or maybes Im releasing my heart and its feeling amazing Theres no one else that matters You love me and I wont let you fall girl Let you fall girl oh Ah ah yeah yeah I wont let you fall let you fall Let you fall oh oh Yeah yeah Yeah yeah Its like  Chorus  Oh ah ah ah ah ah Yeah Forever ever ever ever Forever ever ah,pop,2008,5
Rihanna,Take A Bow,Oh how about a round of applause yeah Standing ovation Oh yeah Yeah yeah yeah yeah  You look so dumb right now Standing outside my house Trying to apologize Youre so ugly when you cry Please just cut it out  Dont tell me youre sorry cause youre not Baby when I know youre only sorry you got caught  But you put on quite a show Really had me going But now its time to go Curtains finally closing That was quite a show Very entertaining But its over now but its over now Go on and take a bow  Grab your clothes and get gone get gone You better hurry up Before the sprinklers come on come on Talking bout Girl I love you youre the one This just looks like a rerun Please what else is on on  Dont tell me youre sorry cause youre not Baby when I know youre only sorry you got caught  But you put on quite a show Really had me going But now its time to go Curtains finally closing That was quite a show Very entertaining But its over now but its over now Go on and take a bow  Oh and the award For the Best Liar goes to you goes to you For making me believe That you could be Faithful to me Lets hear your speech  How about a round of applause A standing ovation  But you put on quite a show Really had me going Now its time to go Curtains finally closing That was quite a show Very entertaining But its over now but its over now Go on and take a bow But its over now,pop,2008,6
Jordin Sparks,No Air,Jordin Tell me how Im supposed to breathe with no air  If I should die before I wake Its cause you took my breath away Losing you is like living in a world with no air Oh  Chris Brown Im here alone didnt wanna leave My heart wont move its incomplete Wish there was a way that I can make you understand  Jordin But how do you expect me to live alone with just me Cause my world revolves around you Its so hard for me to breathe Tell me how Im supposed to breathe with no air Cant live cant breathe with no air Its how I feel whenever you aint there Its no air no air Got me out here in the water so deep Tell me how you gonna be without me If you aint here I just cant breathe Its no air no air  No air air No air air No air air No air air  Chris Brown I walked I ran I jumped I flew Right off the ground to float to you Theres no gravity to hold me down for real  Jordin But somehow Im still alive inside You took my breath but I survived I dont know how but I dont even care So how do you expect me to live alone with just me Cause my world revolves around you Its so hard for me to breathe  Chorus  No air air No air air No air air No air air No more Its no air no air  Chorus  No air air No air air No air air No air air  Tell me how Im supposed to breathe with no air Cant live cant breathe with no air Its how I feel whenever you aint there Its no air no air  Got me out here in the water so deep Tell me how you gonna be without me If you aint here I just cant breathe Its no air no air  No air air No air air No air air No air,pop,2008,7
Alicia Keys,No One,I just want you close Where you can stay forever You can be sure That it will only get better  You and me together Through the days and nights I dont worry cause Everythings gonna be alright People keep talking they can say what they like But all I know is everythings gonna be alright  No one no one no one Can get in the way of what Im feeling No one no one no one Can get in the way of what I feel for you you you Can get in the way of what I feel for you  When the rain is pouring down And my heart is hurting You will always be around This I know for certain  You and me together Through the days and nights I dont worry cause Everythings gonna be alright People keep talking they can say what they like But all I know is everythings gonna be alright  No one no one no one Can get in the way of what Im feeling No one no one no one Can get in the way of what I feel for you you you Can get in the way of what I feel  I know some people search the world To find something like what we have I know people will try try to divide something so real So till the end of time Im telling you there aint no one  No one no one Can get in the way of what Im feeling No one no one no one Can get in the way of what I feel for you  Oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh ohh Oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh ohh,pop,2008,8
Sara Bareilles,Love Song,Head under water And they tell me to breathe easy for a while The breathing gets harder even I know that Made room for me Its too soon to see If Im happy in your hands Im unusually hard to hold on to  Blank stares at blank pages No easy way to say this You mean well but you make this hard on me  Im not gonna write you a love song Cause you asked for it Cause you need one you see Im not gonna write you a love song Cause you tell me its make or break in this If youre on your way Im not gonna write you to stay If all you have is leaving Imma need a better reason To write you a love song today today  I learned the hard way That they all say things you wanna hear And my heavy heart sinks deep down under you and your twisted words Your help just hurts You are not what I thought you were Hello to high and dry  Convinced me to please you Made me think that I need this too Im trying to let you hear me as I am  Im not gonna write you a love song Cause you asked for it Cause you need one you see Im not gonna write you a love song Cause you tell me its make or break in this If youre on your way Im not gonna write you to stay If all you have is leaving Imma need a better reason To write you a love song today  Promise me youll leave the light on To help me see with daylight my guide gone Cause I believe theres a way you can love me Because I say  I wont write you a love song Cause you asked for it Cause you need one you see Im not gonna write you a love song Cause you tell me its make or break in this  Is that why you wanted a love song Cause you asked for it Cause you need one you see Im not gonna write you a love song Cause you tell me its make or break in this If youre on your way Im not gonna write you to stay If your heart is nowhere in it I dont want it for a minute Babe Ill walk the seven seas When I believe that theres a reason To write you a love song today today,pop,2008,9
Chris Brown,With You,x2 I need you boo oh I gotta see you boo hey And the hearts all over the world tonight Said the hearts all over the world tonight  Verse 1 Hey Little mama Ooh youre a stunner Hot little figure Yes youre a winner And Im so glad to be yours Youre a class all your own And Oh little cutie When you talk to me I swear the whole world stops Youre my sweetheart And Im so glad that youre mine You are one of a kind and You mean to me What I mean to you and Together baby There is nothing we wont do Cause if I got you I dont need money I dont need cars Girl youre my all And Oh Im into you And girl No one else would do Cause with every kiss and every hug You make me fall in love And now I know I cant be the only one I bet there hearts all over the world tonight With the love of their life who feels What I feel when Im  With you x5 Girl With you x5  Verse 2 Oh girl I dont want nobody else Without you theres no one left and Youre like Jordans on Saturday I gotta have you and I cannot wait now Hey Little shawty Say you care for me You know I care for you You know that Ill be true You know that I wont lie You know that I would try To be your everything yeah Cause if I got you I dont need money I dont need cars Girl youre my all And  Chorus  With you x5 Oh With you x5 Yeah heh  Bridge 2 And I Will never try to deny that youre my whole life Cause if you ever let me go I would die So I wont front I dont need another woman I just need your all and nothing Cause if I got that Then Ill be straight Baby youre the best part of my day  I need you boo I gotta see you boo And the hearts all over the world tonight Said the hearts all over the world tonight  Woo oh yeah  They need it boo They gotta see their boo Said the hearts all over the world tonight Hearts all over the world tonight  Chorus  With you x5 Girl With you x5 Oh,pop,2008,10
